OBJECTID,Name,Street,City,State,ZIP
4,Cross High School,181 Mitchell Drive,New Haven,CT,06511
5,Cross CT Scholars Program,45 Nash Street,New Haven,CT,06511
6,Hillhouse High School,480 Sherman Parkway,New Haven,CT,06511
7,Coop Arts & Humanities High School,177 College St.,New Haven,CT,06511
8,Hill Regional Career High School,140 Legion Ave.,New Haven,CT,06519
9,High School in the Community,175 Water Street,New Haven,CT,06511
10,New Haven Academy,444-448 Orange Street,New Haven,CT,06511
11,Riverside Education Academy,560 Ella Grasso Blvd.,New Haven,CT,06519
12,Sound School,60 South Water Street,New Haven,CT,06519
13,Adult & Continuing Education Center,580 Grasso Blvd.,New Haven,CT,06519
14,Dixwell New Light High School,192 Dixwell Ave.,New Haven,CT,06511
15,New Horizons School for Higher Achievement,103 Hallock Ave.,New Haven,CT,06519
16,Polly T. McCabe Center ,21 Wooster Place,New Haven,CT,06511
17,Urban Youth Center (6-8) ,580 Dixwell Avenue,New Haven,CT,06511
18,Betsy Ross Arts Magnet School (5-8),150 Kimberly Ave.,New Haven,CT,06519
19,Barnard Magnet School (PreK-8),170 Derby Ave,New Haven,CT,06511
20,Beecher School (PreK-8),100 Jewel St.,New Haven,CT,06511
21,Bishop Woods School (K-8),1481 Quinnipiac Ave.,New Haven,CT,06513
22,K. Brennan School (3-8),200 Wilmot Road,New Haven,CT,06515
23,Celentano Museum Academy (PreK-8) ,400 Canner St.,New Haven,CT,06511
24,Clarence Rogers School (K-2) ,199 Wilmot Rd.,New Haven,CT,06515
25,Clinton Avenue School (K-8) ,293 Clinton Ave.,New Haven,CT,06513
26,Columbus Family Academy (K-7) ,255 Blatchley Ave.,New Haven,CT,06513
27,Conte West Hills Magnet School (K-8) ,511 Chapel Street,New Haven,CT,06511
28,Davis Street Magnet School (PreK-6) ,130 Orchard St.,New Haven,CT,06519
29,East Rock Magnet School (K-4) ,133 Nash Street,New Haven,CT,06511
30,East Rock Magnet School (5-8) ,133 Nash Street,New Haven,CT,06511
31,Edgewood Magnet School (K-8) ,737 Edgewood Ave.,New Haven,CT,06515
32,Engineering & Science University Magnet School ,22 Gold St.,New Haven,CT,06519
33,Fair Haven School (K-8) ,164 Grand Ave.,New Haven,CT,06513
34,Hill Central Music Academy (3-8) ,460 Lexington Ave.,New Haven,CT,06513
35,Hill Central Music Academy (K-2) ,375 Quinnipiac Ave.,New Haven,CT,06513
36,W. Hooker Elementary School (K-2) ,180 Canner St.,New Haven,CT,06511
37,Hooker School (3-8) ,804 State St.,New Haven,CT,06511
38,Jepson Magnet School (PreK-8) ,15 Lexington Ave.,New Haven,CT,06513
39,John C. Daniels School (PreK-8) ,569 Congress Ave.,New Haven,CT,06519
40,John S. Martinez School (K-8) ,100 James St.,New Haven,CT,06513
41,King/Robinson Magnet School (PreK-8) ,150 Fournier St.,New Haven,CT,06511
42,Lincoln-Bassett School (K-8) ,130 Bassett St.,New Haven,CT,06511
43,Mauro/Sheridan Magnet School (PreK-8) ,191 Fountain St.,New Haven,CT,06515
44,MicroSociety Magnet School (PreK-8) ,311 Valley Street,New Haven,CT,06515
45,Nathan Hale School (PreK-8) ,480 Townsend Ave.,New Haven,CT,06512
46,Ross/Woodward School (PreK-8) ,185 Barnes Ave.,New Haven,CT,06513
47,Strong School (Kdg.) ,69 Grand Ave.,New Haven,CT,06513
48,Troup School (K-8) ,259 Edgewood Ave.,New Haven,CT,06511
49,Truman School (K-8) ,114 Truman St.,New Haven,CT,06519
50,Wexler/Grant School (PreK-8) ,55 Foote Street,New Haven,CT,06511
